id,product_tmpl_id/id,attribute_id/id,value_ids/id
roctool_import.product_attribute_line_001,roctool_imports.product_template_copper_induction,roctool_imports.att_copper_cavity,"roctool_imports.att_val_copper_cavity_4,roctool_imports.att_val_copper_cavity_5,roctool_imports.att_val_copper_cavity_6,roctool_imports.att_val_copper_cavity_8,roctool_imports.att_val_copper_cavity_10"
roctool_import.product_attribute_line_002,roctool_imports.product_template_coils_terminal,roctool_imports.att_coils_terminals,"roctool_imports.att_val_coils_terminals_6,roctool_imports.att_val_coils_terminals_10,roctool_imports.att_val_coils_terminals_16,roctool_imports.att_val_coils_terminals_25,roctool_imports.att_val_coils_terminals_35"
roctool_import.product_attribute_line_003,roctool_imports.product_template_cooling_unit,roctool_imports.att_cooling_unit_rxx,"roctool_imports.att_val_cooling_unit_r15,roctool_imports.att_val_cooling_unit_r30,roctool_imports.att_val_cooling_unit_r45"
roctool_import.product_attribute_line_004,roctool_imports.product_template_cooling_unit,roctool_imports.att_cooling_unit_micro_compact,"roctool_imports.att_val_cooling_unit_micro,roctool_imports.att_val_cooling_unit_compact"
roctool_import.product_attribute_line_005,roctool_imports.product_template_cooling_unit,roctool_imports.att_cooling_unit_vs,"roctool_imports.att_val_cooling_unit_vs_true,roctool_imports.att_val_cooling_unit_vs_false"
