id,parent_id/id,name,street,street2,city,zip,country_id/id,website,phone,fax,email,vat,company_registry,currency_id
__setup__.roctool_holding,,RocTool Holding,,,,,base.EUR,,,,,,,EUR
base.main_company,__setup__.roctool_holding,RocTool SA,,,,,base.fr,,,,,,,EUR
__setup__.roctool_inc,__setup__.roctool_holding,RocTool Inc.,,,,,base.us,,,,,,,USD
__setup__.roctool_gmbh,__setup__.roctool_holding,RocTool GmbH,,,,,base.de,,,,,,,EUR
__setup__.roctool_taiwan,__setup__.roctool_holding,RocTool Taiwan,,,,,base.tw,,,,,,,TWD
__setup__.roctool_japan,__setup__.roctool_holding,RocTool Japan,,,,,base.jp,,,,,,,JPY
